S. No.,Percentage in Grade 10,Salary
1,62,90585
2,76.33,108612.14
3,72,103165
4,60,88069
5,61,89327
6,55,81779
7,70,100649
8,68,98133
9,82.8,116751.4
10,59,86811
11,58,85553
12,60,88069
13,66,95617
14,83,117003
15,68,98133
16,37.33,59550.14
17,79,111179
18,68.4,97950.2
19,70,99947
20,59,86219
21,63,91211
22,50,74987
23,69,98699
24,52,77483
25,49,73739
26,64.6,93207.8
27,50,74987
28,74,104939
29,58,84971
30,67,96203
31,75,106187
32,60,87467
33,55,81227
34,78,109931
35,50.08,77290.04
36,56,84915
37,68,100371
38,52,79763
39,54,82339
40,52,79763
41,76,110675
42,64.8,96249.4
43,74.4,108614.2
44,74.5,108743
45,73.5,107455
46,57.58,86950.04
47,68,100371
48,69,101659
49,66,97795
50,60.8,91097.4
